,author,statement,date,source,target
56,Ciara O'Rourke,“The NFL has abruptly fired three referees who officiated the game between the San Francisco 49ers and the Los Angeles Rams.”,"20, December 2024",Facebook posts,false
57,Ciara O'Rourke,Video shows Vice President Kamala Harris “is plastered again!”,"20, December 2024",Instagram posts,false
58,Loreben Tuquero,"Tipster in UnitedHealthcare CEO killing is ineligible for reward money ""because she called 911 instead of the tip line.""","19, December 2024",Social Media,false
59,Louis Jacobson,Government shutdowns in 2013 and 2018 “cost our economy billions of dollars each.”,"19, December 2024",Sara Jacobs,true
60,Madison Czopek,"Spending plan to prevent a government shutdown includes “a pay increase for members of Congress from $174,000 to $243,000 per year.”","19, December 2024",Department of Government Efficiency,false
61,Ciara O'Rourke,"“Ivermectin is a treatment after Covid and after vaccination, it is an effective medicine in all phases of Covid 19.”","19, December 2024",Facebook posts,false
62,Ciara O'Rourke,Video shows footage of a “drone crash.”,"18, December 2024",Threads posts,false
63,Madison Czopek,“Elon Musk unveils a $100 Tesla tablet that will revolutionize the technological world.”,"18, December 2024",Facebook posts,false
64,Kwasi Gyamfi,"“A Coca-Cola truck filled with kids was found by police in Cicero, Illinois.”","December • 18,",Instagram posts,false
65,Grace Abels,"“Men’s swimming team refuses to compete against Lia Thomas, calling her a 'cheat'”","18, December 2024",Facebook posts,false
66,Jeff Cercone,New Jersey drones are searching for missing radioactive material.,"18, December 2024",Instagram posts,false
67,Kwasi Gyamfi,Video shows a drone crashed in New Jersey.,"December • 17,",Instagram posts,false
68,Sara Swann,“The school shooter in Madison Wisconsin Christian School shooting has been identified as a female identifying as a male.”,"17, December 2024",Social Media,false
69,Maria Briceño,"""The city of… is being warned to be alert & vigilant as there is a serial killer on the run,”  Robert Thibodeau.","17, December 2024",Facebook posts,false
70,Madison Czopek,"Drones reported in the U.S., including around the U.S. Capitol, have directed-energy weapons that have a “space-based laser generating system that can create pestilence.”","17, December 2024",Facebook posts,false
71,Jeff Cercone,Photo shows a downed drone,"17, December 2024",Doug Mastriano,false
72,Sofia Ahmed,Photo of a young man in a tie shows Wisconsin school shooter Natalie Rupnow.,"17, December 2024",Instagram posts,false
73,Loreben Tuquero,"Video shows “Yellowstone’s super volcano is now really, really exploding.”","17, December 2024",Instagram posts,false
74,Sara Swann,"A video shows President Joe Biden saying, “There are no drones over the United States.”","16, December 2024",Facebook posts,false
75,Jeff Cercone,“The Pentagon has confirmed that the mysterious drones appearing across the globe are NOT of earthly origin.”,"16, December 2024",Instagram posts,pants-fire
76,Sofia Ahmed,“Pride flags permanently prohibited at FIFA Club World Cup 2025.”,"16, December 2024",Threads posts,false
77,Madison Czopek,Photos show mysterious drones reported flying over parts of New Jersey in November and December 2024.,"13, December 2024",Threads posts,false
78,Sofia Ahmed,Video shows Mitch McConnell appearing in a press conference with a bandage around his head.,"13, December 2024",Instagram posts,false
79,Sara Swann,Images show Taylor Swift with Elon Musk promoting a household energy consumption reduction device.,"13, December 2024",Facebook posts,pants-fire
80,Madison Czopek,"“After meeting with Elon Musk, Republican leader Sen. John Thune announces plans to cut Social Security.”","13, December 2024",Instagram posts,false
81,Ciara O'Rourke,Six hundred body bags were “filled the first day” of Hurricane Helene recovery in North Carolina.,"13, December 2024",Facebook posts,false
82,Ciara O'Rourke,“Dr. Assad will return to ophthalmology after being deposed as president of Syria and plans to set up an eye clinic in Russia.”,"13, December 2024",Viral image,false
83,Sofia Ahmed,“Texas declares bringing a pride flag to the classroom a crime.”,"12, December 2024",Threads posts,false
84,Maria Briceño,"Usuarios en redes sociales leen ‘manifiesto’ escrito por Luigi Mangione, el sospechoso de la muerte del ejecutivo de UnitedHealthcare.","12, December 2024",TikTok posts,false
85,Ciara O'Rourke,“Elon Musk said he might run for governor of California.”,"12, December 2024",Threads posts,false
86,Ciara O'Rourke,Video shows actor Kevin Costner and Dr. Mehmet Oz discussing treatment for chronic lung diseases.,"12, December 2024",Facebook posts,false
87,Madison Czopek,The 14th Amendment “has never been challenged at SCOTUS.”,"12, December 2024",Charlie Kirk,false
88,Sofia Ahmed,"Taylor Swift vowed to leave Elon Musk’s “toxic app X,” during the final moments of her Eras tour, calling him “rich, talented but heartless and immoral.”","12, December 2024",Facebook posts,false
89,Hope Karnopp,"“The Universities of Wisconsin are 43rd out of 50 states in the nation, in terms of public support for our universities. The $855 million (budget request) gets us up to average.”","12, December 2024",Jay Rothman,true
90,Sara Swann,“A $7.20 an hour McDonalds employee … now gets a cool 1/2 million dollar reward” for helping police find the suspected UnitedHealthcare CEO shooter.,"11, December 2024",Threads posts,false
91,Kwasi Gyamfi,“Leaked secret recording” captured Ghana’s Vice President Mahamudu Bawumia calling Ghanaians “gullible and weak-minded.”,"December • 11,",Facebook posts,false
92,Louis Jacobson,About 1% of federal employees are “actually working in the office.”,"11, December 2024",Mike Johnson,pants-fire
93,Marta Campabadal,“New $40K AIDS cure is nearly 100% effective and requires two shots yearly.”,"December • 11,",Instagram posts,false
94,Sofia Ahmed,Photo shows pile of X-rated DVDs found at former Syrian president Bashar Assad’s palace.,"11, December 2024",Threads posts,false
95,Jeff Cercone,"Substack article shows manifesto of Luigi Mangione, the suspect in health care executive's killing.","10, December 2024",Social Media,false
96,Loreben Tuquero,"“Brian Thompson, the CEO of UnitedHealthcare, was set to testify against Nancy Pelosi for insider trading.”","10, December 2024",Social Media,false
97,Ciara O'Rourke,“Joe Rogan to replace Rachel Maddow as MSNBC’s prime-time host after Elon Musk takeover.”,"10, December 2024",Facebook posts,false
98,Ciara O'Rourke,Video shows Fox News host Jeanine Pirro criticizing President-elect Donald Trump.,"10, December 2024",Threads posts,false
99,Jeff Cercone,President-elect Donald Trump’s “plan to end birthright citizenship would mean (four) of his children wouldn't be considered US citizens.”,"10, December 2024",Threads posts,false
100,Sofia Ahmed,"Elon Musk criticized the UnitedHealthcare CEO shooter on X, saying, “It’s disgusting how everyone is turning this guy into some kind of folk hero.”","10, December 2024",Threads posts,false
101,Paul Specht,FEMA delivered “only four” temporary housing units to Helene victims in North Carolina as of Nov. 20.,"10, December 2024",X posts,half-true
102,Kwasi Gyamfi,"A “no-strings-attached $1,000 stimulus” check has been approved for “every U.S. resident” ahead of Donald Trump’s presidency.”","December • 10,",Facebook posts,false
103,Ciara O'Rourke,Video shows “NYC coming together to dance in the streets over the universal American love” of dead CEOs.,"10, December 2024",Instagram posts,false
104,Gideon Hess,Video shows CEO homicide suspect Luigi Mangione posted YouTube videos teasing his plans,"10, December 2024",TikTok posts,false
105,Sara Swann,"Robert F. Kennedy Jr. posted on X that on Jan. 20, “I will be banning all consumption of Diet Coke in the United States.”","9, December 2024",Instagram posts,false
106,Sofia Ahmed,UnitedHealthcare posted a job opening for a CEO 24 hours after its CEO was killed.,"9, December 2024",Social Media,false
107,Sofia Ahmed,"“The population in Gaza has increased by 2.02% since Oct. 7, 2023.”","6, December 2024",Instagram posts,false
108,Madison Czopek,"Elon Musk wrote on X that “without CEOs, the world would not be able to function” and “America will be destitute without us.”","6, December 2024",Threads posts,false
109,Jeff Cercone,"""Vaccine researcher Peter Hotez says multiple viruses will be unleashed on America the day after Trump takes office.""","6, December 2024",Instagram posts,false
110,Sara Swann,Fox News commentator Dr. Kelly Powers died from “turbo cancer” caused by COVID-19 vaccines.,"6, December 2024",Facebook posts,false
111,Loreben Tuquero,“Trump was impeached for trying to investigate all the crimes that Joe Biden just pardoned Hunter over.”,"6, December 2024",Instagram posts,false
112,Kwasi Gyamfi,“Elon Musk is not a citizen of the United States.”,"December • 5,",Threads posts,false
113,Marta Campabadal,"""Última hora: secuestraron al doctor Juan J. Rivera quien reveló un remedio casero que elimina la causa de la diabetes en solo un día"".","December • 5,",Facebook posts,pants-fire
114,Sara Swann,Photo shows President Joe Biden used his son Hunter’s injuries from a car accident as a photo opportunity when taking the oath of office for Senate in 1973.,"5, December 2024",Facebook posts,false
115,Loreben Tuquero,“Bill Gates has been indicted in the Netherlands.”,"5, December 2024",Instagram posts,false
116,Ciara O'Rourke,“Elon Musk decides to withdraw support” for World Boxing Organization unless Imane Khelif’s “medal and $25 million bonus are revoked.”,"5, December 2024",Facebook posts,false
117,Kwasi Gyamfi,“Pete Buttigieg will leave his post as Transportation Secretary having spent $7.5 billion to build 8 EV charging stations.”,"December • 5,",Michael Rulli,false
118,Gideon Hess,"Former presidents George H.W. Bush and Jimmy Carter issued pardons to a son and brother, respectively.","5, December 2024",Threads posts,false
119,Maria Briceño,"""President Trump has announced a plan to prosecute the Biden administration for the 325,000 kids that went ‘missing’ into human trafficking & sex slavery during their open border policies.”","5, December 2024",Instagram posts,false
120,Sofia Ahmed,“Reba McEntire states drag queens shouldn’t be around kids.”,"5, December 2024",Facebook posts,false
121,Marta Campabadal,"""The famed ship at the bottom of the North Atlantic is actually not The Titanic. It is her near-identical sister ship The Olympic.""","December • 4,",Facebook posts,pants-fire
122,Ciara O'Rourke,“Elon Musk announces January 20th as the date for bombshell release of Diddy and Epstein client list.”,"4, December 2024",Facebook posts,false
123,Sofia Ahmed,The NFL said Beyoncé is “not a good artist” and rejected her Christmas halftime show.,"4, December 2024",Facebook posts,false
124,Ciara O'Rourke,Donald Trump ordered the “Dallas Police Department and Dallas Attorney General’s Office to begin the preparation for the arrest” of a suspect in John F. Kennedy’s assassination.,"3, December 2024",Viral image,false
125,Grace Abels,"""Mark Wahlberg calls for immediate firing of teachers who removed American flags from classrooms""","3, December 2024",Facebook posts,false
126,Maria Briceño,“Disney selling ABC for $20 Billion: New owner plans to cancel 'The View’.”,"3, December 2024",Facebook posts,false
127,Sara Swann,Kash Patel posted on X that “the FBI is gay.”,"2, December 2024",X posts,false
128,Sofia Ahmed,"A CNN headline says, “Elon Musk considers melting down Statue of Liberty to make series of limited edition cyber trucks""","2, December 2024",Threads posts,pants-fire
129,Loreben Tuquero,Elon Musk is “finally releasing his first flying car today.”,"2, December 2024",Facebook posts,false
130,Louis Jacobson,On pardoning his son Hunter Biden,"2, December 2024",Joe Biden,full-flop
131,Maria Briceño,Elon Musk demanda a “Whoopi Goldberg y The View” por $70 millones.,"2, December 2024",Facebook posts,false
132,Jeff Cercone,“Chick fil-A’s new policies have people thinking (of a) boycott.”,"2, December 2024",Facebook posts,false
133,Sofia Ahmed,"“Elon Musk reveals Tesla 2025 motorhome for under $17,000!”","27, November 2024",Facebook posts,false
134,Ciara O'Rourke,Video shows President-elect Donald Trump announcing “free college education” in November 2024.,"27, November 2024",Instagram posts,false
135,Ciara O'Rourke,“Abortion clinics warn they’ll go bankrupt if Democrat ‘sex strike’ continues.”,"27, November 2024",Viral image,false
136,Kwasi Gyamfi,"Smallpox was “never eradicated, it’s held in check by vaccines,” and RFK Jr. would eliminate coverage for the smallpox vaccine.","November • 27,",Facebook posts,false
137,Caleb McCullough,“The CDC says that little 6 month old babies must get SEVEN doses of the Covid vaccine in order to be considered fully ‘up to date’ on their vaccinations.”,"27, November 2024",Instagram posts,false
138,Jeff Cercone,"Rep. Marjorie Taylor Greene said “if every member of Congress had to resign for doing what Matt Gaetz has been accused of, Democrats would have a supermajority.’""","27, November 2024",Threads posts,false
139,Loreben Tuquero,"“Texas just gifted Trump 355,000 acres for deportation camps.”","27, November 2024",Threads posts,false
140,Marta Campabadal,"Elon Musk dijo que ""¡El teléfono Tesla de 299 dólares será el final del iPhone!"".","November • 27,",Facebook posts,false
141,Maria Briceño,"“Elon Musk, revela un nuevo motor impulsado por agua que promete cambiar por completo la industria automotriz”.","27, November 2024",Facebook posts,false
142,Ciara O'Rourke,Says Travis Kelce quit X and called it a “toxic waste dump.”,"26, November 2024",Facebook posts,false
143,Caleb McCullough,"""Half of all Ukrainian aid was laundered and sent back to Democrat candidates for re-election.""","26, November 2024",Instagram posts,false
144,Sofia Ahmed,AOC posted that Trump’s election victory emboldened a conservative news outlet to call for her resignation because she’s a woman.,"26, November 2024",Instagram posts,false
145,Jeff Cercone,"""Ireland will pay you $90,000 to move to a beautiful island home.”","26, November 2024",Facebook posts,false
146,Ciara O'Rourke,"“Michael Jordan turns down $100 million Disney deal, declares he won’t work for wokeness.”","26, November 2024",Facebook posts,false
147,Marta Campabadal,"Celebrities including Bruce Springsteen, Robert De Niro, Robert Downey Jr., John Legend and Tom Hanks have announced they are leaving the U.S. following the 2024 election.","November • 26,",Facebook posts,false
148,Maria Briceño,“Donald Trump has officially banned” same-sex marriage “in all 50 states in America.”,"26, November 2024",Facebook posts,pants-fire
149,Madeline Heim,"“With your Democrat governor, you have some of the highest electricity prices and highest energy costs. It’s just about at the top in Wisconsin.”","26, November 2024",Donald Trump,false
150,Sofia Ahmed,Donald Trump lost the popular vote by 2%.,"26, November 2024",Threads posts,false
151,Sofia Ahmed,"Una mujer posó junto a su hija con un cartel que dice, “Quiero que mi hija tenga el derecho a abortar que yo no tuve”.","26, November 2024",Social Media,false
152,Caleb McCullough,“Rachel Maddow MELTS DOWN over Elon Musk posting memes about buying MSNBC.”,"25, November 2024",Instagram posts,false
153,Marta Campabadal,"""Donald Trump has appointed NBA legend Karl Malone as the new director of Child Protective Services.""","November • 25,",Instagram posts,false
154,Sofia Ahmed,"A woman holds a sign that says, “I want my daughter to have the right to abortion that I didn’t have.”","25, November 2024",Social Media,false
155,Maria Briceño,"""Kyle Rittenhouse registers a lien against Whoopi Goldberg’s Malibu home for $22 million.”","22, November 2024",Facebook posts,false
156,Sofia Ahmed,“Taylor Swift has moved to Canada after leaving the U.S. following the big red wave.”,"22, November 2024",Facebook posts,false
157,Caleb McCullough,"""Billie Eilish turns down Oscar nomination and leaves US after MASSIVE RED WAVE""","22, November 2024",Facebook posts,false
158,Caleb McCullough,"There are “$6,400 in funds for every American to claim.”","22, November 2024",Facebook posts,false
159,Maria Briceño,"""McDonalds chicken nuggets contain silicone oil.""","22, November 2024",Facebook posts,barely-true
160,Sofia Ahmed,"“Elon Musk permanently bans Robert De Niro from X, declares ‘no room for his woke presence.’”","22, November 2024",Facebook posts,false
161,Ciara O'Rourke,President-elect Donald Trump called Joe Scarborough “a scolded dog” on Truth Social.,"21, November 2024",Viral image,false
162,Ciara O'Rourke,Says Elon Musk said he would suspend X “accounts calling me fat.”,"21, November 2024",Viral image,false
163,Ciara O'Rourke,"Says Elon Musk said, “The $299 Tesla phone will be the end of the iPhone.”","21, November 2024",Facebook posts,false
164,Ciara O'Rourke,“Parents of trans-species kids no longer getting money every month” because of President-elect Donald Trump.,"21, November 2024",Viral image,pants-fire
165,Sofia Ahmed,The Associated Press misspelled Mississippi in a headline about the state’s literacy program.,"21, November 2024",Threads posts,false
166,Kwasi Gyamfi,FEMA brought 300 semi trucks to Michigan’s Oscoda-Wurtsmith Airport,"November • 21,",Facebook posts,false
167,Caleb McCullough,"""Ballot dumps"" in Pennsylvania, California, North Carolina, Alaska and Wisconsin show election officials are improperly “flipping"" down-ballot seats for Democrats.","21, November 2024",Instagram posts,pants-fire
168,Ciara O'Rourke,Fox News reported California Gov. Gavin Newsom “will withhold” California’s federal income tax.,"20, November 2024",Instagram posts,false
169,Marta Campabadal,"""Elon Musk bloquea el contenido de Disney Pride en X y dice que 'WOKE' no es para NIÑOS"".","November • 20,",Facebook posts,false
170,Sofia Ahmed,"Bragg’s apple cider vinegar uses Bill Gates’ ‘Apeel’ apples, which harm the body.","20, November 2024",Instagram posts,false
171,Ciara O'Rourke,“ABC issued an official statement confirming that Joy Behar and Whoopi Goldberg’s contracts will not be renewed.”,"20, November 2024",Facebook posts,false
172,Ciara O'Rourke,“NCAA shifts all medals from Lia Thomas to Riley Gaines.”,"20, November 2024",Facebook posts,false
173,Jeff Cercone,"“The U.S Senate accidentally passed a bill banning Trump from becoming President, and Biden is planning to sign it.”","20, November 2024",Threads posts,pants-fire
174,Ciara O'Rourke,“Elon Musk sues ‘The View’ and Whoopi Goldberg for $70 million.”,"20, November 2024",Facebook posts,false
175,Marta Campabadal,Video shows floods in Spain and France.,"November • 20,",Facebook posts,false
176,Mia Penner,“Elon Musk thinks that posting what you eat is worthy of a suspension” from X.,"20, November 2024",Threads posts,false
177,Kwasi Gyamfi,Mike Tyson posed with the Palestinian flag before his Nov. 15 fight against Jake Paul.,"November • 19,",Facebook posts,false
178,Caleb McCullough,"Says Sen. Bob Casey, D-Pa., “is trying to change the outcome of the election by counting NON-CITIZEN votes.”","19, November 2024",Elon Musk,false
179,Grace Abels,“Elon Musk bans DreamWorks Animation from X for promoting Pride.”,"19, November 2024",Threads posts,false
180,Jeff Cercone,"""McDonald’s offered 850 million to RFK for hush money” related to its frying oil.","19, November 2024",Instagram posts,pants-fire
181,Ciara O'Rourke,"“Elon Musk blocks Disney’s pride content on X, says ‘woke’ isn’t for kids.”","19, November 2024",Facebook posts,false
182,Jeff Cercone,"""Following Chiefs, Steelers also announce boycott of Pride nights.”","19, November 2024",Facebook posts,false
183,Ciara O'Rourke,“Gas prices drop an average of $4 across red states.”,"19, November 2024",Facebook posts,false
184,Maria Briceño,"“Elon Musk: 'I Am Releasing Tesla's $7,000 NEW Car That Runs On PURE Solar Power!’”","19, November 2024",Facebook posts,false
185,Kwasi Gyamfi,“Stunning Knockout: Mike Tyson Defeats Jake Paul in Just 50 Seconds with a Devastating K.O.”,"November • 18,",Facebook posts,pants-fire
186,Madison Czopek,"Says Taylor Swift said, “Elon Musk, the first human in history, to be radicalized by his own algorithm.”","18, November 2024",Threads posts,false
187,Sofia Ahmed,“Elon Musk has $180 Billion and there are 8B people on earth. If he gave us each $1B he’d still have $172B left.”,"18, November 2024",Threads posts,false
188,Maria Briceño,Elon Musk anunció que “está comprando oficialmente McDonald's”.,"18, November 2024",Facebook posts,false
189,Jeff Cercone,Israeli Prime Minister Benjamin Netanyahu hospitalized with “serious health issue.”,"18, November 2024",Threads posts,false
190,Paul Specht,"“Red Cross is set to close shelters across North Carolina on Nov. 15. Families staying in these shelters are being told: ‘If you don’t have a safe place to take your children, you won’t be leaving with them.’”","18, November 2024",X posts,false
191,Maria Ramirez,“Fewer people came in under President Biden than came under Donald Trump.”,"November • 15,",Nancy Pelosi,false
192,Sofia Ahmed,Donald Trump chose a provocative song to describe Kamala Harris during a presidential debate.,"15, November 2024",Instagram posts,pants-fire
193,Marta Campabadal,Elon Musk has invented a small gadget to slash energy bills.,"November • 15,",Facebook posts,false
194,Ciara O'Rourke,"“Kroger, Food Lion and Publix announce a 4% price cut across the board.”","15, November 2024",Threads posts,false
195,Ciara O'Rourke,“Biden agreed to a recount” in the 2024 presidential election.,"15, November 2024",Threads posts,false
196,Sofia Ahmed,“Breaking: Trump names Boebert secretary of education”,"15, November 2024",Instagram posts,false
197,Maria Briceño,"“Ella Emhoff, la hijastra de Kamala Harris, ha sido internada en un hospital psiquiátrico tras la derrota de su madrastra ante” Donald Trump.","15, November 2024",Instagram posts,false
198,Ricardo Torres,Says the election results are suspicious because opponent U.S. Sen. Baldwin won “nearly 90%” of absentee ballots in Milwaukee.,"15, November 2024",Eric Hovde,false
199,Kwasi Gyamfi,"""Elon Musk surprises the world with Ford acquisition.""","November • 14,",Facebook posts,false
200,Ciara O'Rourke,Photo shows a missing police officer.,"14, November 2024",Facebook posts,pants-fire
201,Madison Czopek,Image shows Joe Biden and Trump meeting at the White House on Nov. 13.,"14, November 2024",Instagram posts,pants-fire
202,Marta Campabadal,This video shows floods in Spain.,"November • 14,",Facebook posts,false
203,Sofia Ahmed,ABC News aired footage of home invaders fleeing after being threatened with a rocket-propelled grenade.,"14, November 2024",Instagram posts,false
204,Madison Czopek,A “ballot dump” around 4 a.m. in Milwaukee shows the Wisconsin Senate election was stolen from the Republican candidate.,"14, November 2024",Instagram posts,pants-fire
205,Ciara O'Rourke,Photo shows Taylor Swift after she “broke down in tears on live television the moment the race was called for President Trump.”,"14, November 2024",Viral image,false
206,Jeff Cercone,"Nissan just announced 9,000 layoffs in Tennessee “to avoid severe losses due to expected tariffs.”","14, November 2024",Threads posts,false
207,Mia Penner,“Sephora donated BIG to Trump’s campaign.”,"14, November 2024",Threads posts,false
208,Maria Briceño,"“Ella Emhoff, Kamala’s step-daughter, suffered a mental breakdown … due to the grief from Kamala’s humiliating loss, and was admitted to an in-patient mental health crisis center in NY.”","14, November 2024",Threads posts,false
209,Ciara O'Rourke,Video shows a “massive rally in the UK for President Trump” after Election Day 2024.,"14, November 2024",Viral image,false
210,Madeline Heim,"“Every single county in America, every single county, Kamala Harris did worse than Joe Biden did.”","14, November 2024",Robin Vos,false
211,Loreben Tuquero,"List shows 21 companies or celebrities, including Disney, Marvel and Warner Bros., that have “stopped posting on X.”","13, November 2024",Threads posts,barely-true
212,Loreben Tuquero,Special Counsel “Jack Smith has been fired” as of Nov. 6.,"13, November 2024",Threads posts,false
